date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:03	202981/202981	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Jan%202022%2019:01:48%20GMT	https://preview.droitthemes.net/wp/saasland/demos/	C:/My%20Web%20Sites/saas/preview.droitthemes.net/wp/saasland/demos/index.html	(from )
21:23:04	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Jan%202022%2014:23:03%20GMT	https://preview.droitthemes.net/robots.txt		(from )
21:23:04	4707/4707	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2014:57:40%20GMT	https://preview.droitthemes.net/wp/saasland/demos/img/favicon.png	C:/My%20Web%20Sites/saas/preview.droitthemes.net/wp/saasland/demos/img/favicon.png	(from https://preview.droitthemes.net/wp/saasland/demos/)
21:23:04	235110/235110	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jan%202022%2014:57:38%20GMT	https://preview.droitthemes.net/wp/saasland/demos/css/bootstrap.min.css	C:/My%20Web%20Sites/saas/preview.droitthemes.net/wp/saasland/demos/css/bootstrap.min.css	(from https://preview.droitthemes.net/wp/saasland/demos/)
21:23:04	62957/62957	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jan%202022%2019:02:26%20GMT	https://preview.droitthemes.net/wp/saasland/demos/css/style.css	C:/My%20Web%20Sites/saas/preview.droitthemes.net/wp/saasland/demos/css/style.css	(from https://preview.droitthemes.net/wp/saasland/demos/)
21:23:05	16049/16049	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jan%202022%2017:02:58%20GMT	https://preview.droitthemes.net/wp/saasland/demos/css/responsive.css	C:/My%20Web%20Sites/saas/preview.droitthemes.net/wp/saasland/demos/css/responsive.css	(from https://preview.droitthemes.net/wp/saasland/demos/)
21:23:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Jan%202022%2014:23:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/saas/www.googletagmanager.com/gtm.45445.delayed	(from https://preview.droitthemes.net/wp/saasland/demos/)
21:23:05	2656/2656	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2014:57:40%20GMT	https://preview.droitthemes.net/wp/saasland/demos/img/logo2.png	C:/My%20Web%20Sites/saas/preview.droitthemes.net/wp/saasland/demos/img/logo2.png	(from https://preview.droitthemes.net/wp/saasland/demos/)
21:23:05	24362/24362	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Jan%202022%2014:57:44%20GMT	https://preview.droitthemes.net/wp/saasland/demos/faq.html	C:/My%20Web%20Sites/saas/preview.droitthemes.net/wp/saasland/demos/faq.html	(from https://preview.droitthemes.net/wp/saasland/demos/)
21:23:06	14229/14229	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Jan%202022%2014:57:44%20GMT	https://preview.droitthemes.net/wp/saasland/demos/video_tutorial.html	C:/My%20Web%20Sites/saas/preview.droitthemes.net/wp/saasland/demos/video_tutorial.html	(from https://preview.droitthemes.net/wp/saasland/demos/)
